eine Strasse;en gata;en gatan;false;1/4/2017 23:35:58
ein Jahr;ett år;ett är;false;1/4/2017 23:36:9
das;det;det;true;1/4/2017 23:36:24
ein Jahr;ett år;ett år;true;1/4/2017 23:36:34
Wir essen Frühstück.;Vi äter frukost.;Vi äter frukost.;true;1/4/2017 23:36:44
er;han;han;true;1/4/2017 23:36:47
aber;men;ocksa;false;1/4/2017 23:36:56
Wie heisst du?;Vad heter du?;Vad heter du?;true;1/4/2017 23:37:5
eine Strasse;en gata;en gata;true;1/4/2017 23:37:10
aber;men;men;true;1/4/2017 23:37:14
Ich spreche Schwedisch.;Jag talar svenska.;Jag heter svenska.;false;1/4/2017 23:37:20
Ich spreche Schwedisch.;Jag talar svenska.;Jag talar svenska.;true;1/4/2017 23:37:30
Bist du Schwedisch?;Är du svensk?;Är du svensk?;true;1/4/2017 23:37:43
Ja, klar.;Ja, självklart.;;false;1/4/2017 23:37:51
zu essen;att äta;att äta;true;1/4/2017 23:38:3
Danke;Tack;Tack;true;1/4/2017 23:38:7
Wie toll!;Vad kul!;Vad trevgligt1;false;1/4/2017 23:38:21
sie (Mehrzahl);de;de;true;1/4/2017 23:38:28
Wie toll!;Vad kul!;Vad kul!;true;1/4/2017 23:38:36
Ja, klar.;Ja, självklart.;Ja, klärvist.;false;1/4/2017 23:38:52
eine Grossmutter (väterlicherseits);en farmor;en farmor;true;1/4/2017 23:39:8
bisschen;lite;lite;true;1/4/2017 23:39:12
Super!;Kanon!;Kanon!;true;1/4/2017 23:39:19
Wo wohnt ihr?;Var bor ni?;Var bor ni?;true;1/4/2017 23:39:38
Und du?;Och du?;Och du?;true;1/4/2017 23:39:45
Ja, klar.;Ja, självklart.;Ja, självklart.;true;1/4/2017 23:40:2
Ich spreche Deutsch, Englisch, und ein bisschen Schwedisch und Französisch.;Jag talar tyska, engelska, och lite svenska och franska.;Jag talar tyska, engelska, och lite svenska och franska.;true;1/4/2017 23:40:21
klar;javisst;javisst;true;2/4/2017 10:45:18
Ich bin bald wieder zurück.;Jag är snart tillbaka;Jag är snart tillbaka.;false;2/4/2017 10:45:59
Und zu drinken?;Och att dricka?;Och ett dricka?;false;2/4/2017 10:46:22
eine Strasse;en gata;en gata;true;2/4/2017 10:46:37
Ich bin bald wieder zurück.;Jag är snart tillbaka;Jag är snart tillbaka;true;2/4/2017 10:46:56
Elin soll Anton vor dem Kino treffen.;Elin ska träffa Anton framför bion.;Elin ska träffa Anton farfrån dio.;false;2/4/2017 10:47:28
ohne;utan;utan;true;2/4/2017 10:47:42
Elin soll Anton vor dem Kino treffen.;Elin ska träffa Anton framför bion.;Elin ska träffa Anton framfrån bino.;false;2/4/2017 10:48:7
Bist du Robert?;Är du Robert?;Är du Robert?;true;2/4/2017 10:48:21
Wie schön!;Vad trevligt!;Vad trevligt!;true;2/4/2017 10:48:31
Reist ihr durch Schweden?;Reser ni i Sverige?;Reser ni i sverige?;true;2/4/2017 10:48:47
zu sollen;att skola;att sollja;false;2/4/2017 10:49:5
zu essen;att äta;att äta;true;2/4/2017 10:49:11
Und zu drinken?;Och att dricka?;Och att dricka?;true;2/4/2017 10:49:21
zu sollen;att skola;att skola;true;2/4/2017 10:49:26
eine Stadt;en stad;en stad;true;2/4/2017 10:49:29
ich soll;jag ska;jag ska;true;2/4/2017 10:49:33
Du auch?;Du också?;Också du?;false;2/4/2017 10:49:47
sie (Einzahl);hon;hon;true;2/4/2017 10:49:54
gerne;gärna;gärna;true;2/4/2017 10:50:0
ein Bier;en öl;en öl;true;2/4/2017 10:50:9
Was sprechen sie für eine Sprache in der Schweiz?;Vad talar de för språk i Schweiz?;Vad talar de för språk en Schweiz?;false;2/4/2017 10:50:52
Elin soll Anton vor dem Kino treffen.;Elin ska träffa Anton framför bion.;Elin ska träffa Anton framför bine;false;2/4/2017 10:51:41
ich bin;jag är;jag är;true;2/4/2017 10:51:59
eine Grossvater (väterlicherseits);en farfar;en farfar;true;2/4/2017 10:52:6
Was sprechen sie für eine Sprache in der Schweiz?;Vad talar de för språk i Schweiz?;Vad talar de för språk i Schweiz?;true;2/4/2017 10:52:27
aber;men;men;true;2/4/2017 10:52:37
Du auch?;Du också?;Du också?;true;2/4/2017 10:52:45
haben wollen;vill ha;villja ha;false;2/4/2017 10:52:58
ein Land;ett land;en land;false;2/4/2017 10:53:5
ein Land;ett land;ett land;true;2/4/2017 10:53:9
Konditorei;konditoriet;conditoriet;false;2/4/2017 10:53:14
Elin soll Anton vor dem Kino treffen.;Elin ska träffa Anton framför bion.;Elin ska träffa Anton framför bine.;false;2/4/2017 10:53:41
zu heissen;att heta;att heta;true;2/4/2017 10:53:52
Elin soll Anton vor dem Kino treffen.;Elin ska träffa Anton framför bion.;Elin ska träffa Anton framfär bion.;false;2/4/2017 10:54:6
haben wollen;vill ha;vill ha;true;2/4/2017 10:54:26
Konditorei;konditoriet;konditoriet;true;2/4/2017 10:54:31
Ich möchte ein Cola haben, danke.;Jag vill ha en cola, tack.;Jag vill ja en cola, tack.;false;2/4/2017 10:54:44
zu besuchen;att besöka;;false;2/4/2017 10:54:56
Bist du Robert?;Är du Robert?;Är du Robert?;true;2/4/2017 10:55:5
Jetzt bestellen wir.;Nu beställer vi.;Nu beställa vi.;false;2/4/2017 10:55:14
zu heissen;att heta;att heter;false;2/4/2017 10:55:20
haben wollen;vill ha;vill ha;true;2/4/2017 10:55:28
Ich bin bald wieder zurück.;Jag är snart tillbaka;Jag är;false;2/4/2017 10:56:17
nicht;inte;inte;true;2/4/2017 10:56:24
ein Land;ett land;ett land;true;2/4/2017 10:57:4
Tschüss;Hej då;hej tå;false;2/4/2017 10:57:14
Ich möchte ein Cola haben, danke.;Jag vill ha en cola, tack.;Jag vill ha en cola, tack.;true;2/4/2017 10:57:28
Was sollen wir essen?;Vad ska vi äta?;Vad ska vi äta?;true;2/4/2017 10:57:38
Das Hotel liegt am Strandvägen 8.;Hotell ligger på Strandvägen 8.;Hotell ligger på Strandvägen 8.;true;2/4/2017 15:40:44
sie (Einzahl);hon;hon;true;2/4/2017 15:40:47
Geh geradeaus zum Bahnhof und bieg rechts ab.;Gå rankt fram till stationen och ta till höger.;Gå rakt fram till stationen och ta till högger.;false;2/4/2017 15:41:20
eine Schwester;en syster;en syster;true;2/4/2017 15:41:37
Geh geradeaus zum Bahnhof und bieg rechts ab.;Gå rankt fram till stationen och ta till höger.;Gå rakt fram till stationen och ta till höger.;false;2/4/2017 15:41:59
Geh geradeaus zum Bahnhof und bieg rechts ab.;Gå rankt fram till stationen och ta till höger.;Gå rankt fram till stationen och ta till höger.;true;2/4/2017 15:42:43
ein Glas;ett glas;en glass;false;2/4/2017 15:42:47
Könnt ihr auch ein Restaurant empfehlen?;Och kan ni rekommendera en restaurang också?;Kan ni rekommendera ocksa en restaurang?;false;2/4/2017 15:43:16
ein Glas;ett glas;ett glass;false;2/4/2017 15:44:14
zu sitzen;att sitta;;false;2/4/2017 15:44:23
Könnt ihr auch ein Restaurant empfehlen?;Och kan ni rekommendera en restaurang också?;Och kan ni rekommendera en restaurang också?;true;2/4/2017 15:44:30
zu spielen;att spela;;false;2/4/2017 15:45:23
zu sitzen;att sitta;att sitta;true;2/4/2017 15:45:30
ich entschuldige mich.;Jag ursäktar.;Jag ursäkta.;false;2/4/2017 15:45:42
sollen;ska;att ska;false;2/4/2017 15:45:58
zu spielen;att spela;att spela;true;2/4/2017 15:46:7
ich entschuldige mich.;Jag ursäktar.;Jag ursäktar.;true;2/4/2017 15:46:14
sollen;ska;ska;true;2/4/2017 15:46:17
eine Grossmutter (väterlicherseits);en farmor;en farmor;true;2/4/2017 15:46:24
eine Grossmutter (väterlicherseits);en farmor;en farmor;true;2/4/2017 15:46:41
eine Apotheke;ett apotek;ett apotek;true;2/4/2017 15:46:51
zu helfen;att hjälpa;att hjälp;false;2/4/2017 15:47:2
auch;också;också;true;2/4/2017 15:47:8
ein Glas;ett glas;ett glas;true;2/4/2017 15:47:12
zu helfen;att hjälpa;att hjälpa;true;2/4/2017 15:47:18
sollen;ska;ska;true;2/4/2017 15:47:20
bald;snart;;false;2/4/2017 15:47:30
Ich möchte reisen.;Jag vill resa.;Jag vil reser.;false;2/4/2017 15:47:40
zu wollen;att villja;att skola;false;2/4/2017 15:47:51
zu wollen;att villja;att villja;true;2/4/2017 15:48:0
zu spielen;att spela;att spela;true;2/4/2017 15:48:3
Geh geradeaus zum Bahnhof und bieg rechts ab.;Gå rankt fram till stationen och ta till höger.;Gå rankt fram till stationen och ta till höger.;true;2/4/2017 15:48:24
bald;snart;snart;true;2/4/2017 15:48:27
zu essen;att äta;att äta;true;2/4/2017 15:48:56
ohne;utan;utan;true;2/4/2017 15:49:1
Ich möchte reisen.;Jag vill resa.;Jag vill resa.;true;2/4/2017 15:49:19
Ich bin auf Urlaub in Stockholm.;Jag är på semester i Stockholm.;Jag är på semester i Stockholm.;true;2/4/2017 15:49:40
Ihr sollt jetzt ins Bett gehen!;Nu ska ni gå och lägga er!;Vi skulle;false;2/4/2017 16:55:51
zu sprechen;att tala;att tala;true;2/4/2017 18:18:27
zu treffen;att träffa;att träffa;true;2/4/2017 18:18:38
ein Bahnhof;en station;en station;true;2/4/2017 18:18:46
eine Grossvater (mütterlicherseits);en morfar;en morfar;true;2/4/2017 18:18:53
nicht;inte;inte;true;2/4/2017 18:18:57
ein Sommerhaus;ett sommarhus;ett sommarhus;true;2/4/2017 18:19:5
ich will;jag vill;jag vill;true;2/4/2017 18:19:15
ein Saft;en juice;en juice;true;2/4/2017 18:19:21
Gibt es einen Bus den man nehmen kann?;Finns det en buss som man kan ta?;Finns det en buss den man ka ta?;false;2/4/2017 18:20:7
Gibt es einen Bus den man nehmen kann?;Finns det en buss som man kan ta?;Finns det en buss son man kan ta?;false;2/4/2017 18:20:29
lieber;hellre;hellre;true;2/4/2017 18:20:40
Gibt es einen Bus den man nehmen kann?;Finns det en buss som man kan ta?;Finns det en  buss son man kan ta?;false;2/4/2017 18:20:53
Gibt es einen Bus den man nehmen kann?;Finns det en buss som man kan ta?;Finns det en buss som man kan ta?;true;2/4/2017 18:21:11
Ich fahre Bus.;Jag åker buss.;Jag åker buss.;true;2/4/2017 18:21:40
eine Sprache; ett språk;ett språk;false;2/4/2017 18:21:48
ja;ja;ja;true;2/4/2017 18:22:45
eine Sprache; ett språk;ett språk;false;2/4/2017 18:22:55
Wie heisst sie?;Vad heter hon?;Vad heter hon?;true;2/4/2017 18:23:21
ein Brötchen;en fralla;en smörgås;false;2/4/2017 18:24:47
gerne;gärna;gärna;true;2/4/2017 18:24:54
Das ist mein Auto.;Det är min bil.;Det där är min bul.;false;2/4/2017 18:25:14
in der Nähe;i närheten;i närheten;true;2/4/2017 18:25:30
Und das dort?;Och det där?;Ock det där?;false;2/4/2017 18:25:45
Das ist mein Auto.;Det är min bil.;Det är min bil.;true;2/4/2017 18:25:55
Hi, ich bin Philipp.;Hej, jag är Philipp.;Hej, jag är Philipp.;true;2/4/2017 18:26:2
Das hier ist meine Freundin (Partnerin).;Det här är min flickvän.;Det här är min;false;2/4/2017 18:26:25
Und das dort?;Och det där?;Och det där?;true;2/4/2017 18:26:37
ein Brötchen;en fralla;en fralla;true;2/4/2017 18:26:41
Nach rechts?;Till höger?;Till höger?;true;2/4/2017 18:26:50
eine Sprache;ett språk;ett språk;true;2/4/2017 18:26:57
ein Flughafen;en flygplats;en flygplats;true;2/4/2017 18:27:8
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;;false;2/4/2017 18:27:20
Reist ihr auch bis Umeå?;Reser ni också till Umeå?;Reser ni också till Umeå?;true;2/4/2017 18:27:52
ein Cola;en cola;en cola;true;2/4/2017 18:27:55
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;Jag ska;false;2/4/2017 18:28:8
Das hier ist meine Freundin (Partnerin).;Det här är min flickvän.;Det här är min flickvän.;true;2/4/2017 18:28:33
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;Jag ska gräfa frän Julia.;false;2/4/2017 18:28:52
mein Mann;min man;min man;true;2/4/2017 18:28:59
eine Grossvater (mütterlicherseits);en morfar;en morfran;false;2/4/2017 18:29:7
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;Jag ska hälsa från Julia.;true;2/4/2017 18:29:20
eine Grossvater (mütterlicherseits);en morfar;en morfar;true;2/4/2017 18:29:28
ein Urlaub;en semester;en semester;true;2/4/2017 18:29:31
Wie heisst du?;Vad heter du?;Jag heter du?;false;2/4/2017 18:29:36
Wir sehen uns.;Vi ses.;Vi ni;false;2/4/2017 18:29:56
Er wohnt in einer Wohnung.;Han bor i en lägenhet.;Han bor i in lägenheter.;false;2/4/2017 18:30:17
Entschuldigung!;Ursäkta!;Ursäkta!;true;2/4/2017 18:30:31
Wir sehen uns.;Vi ses.;Vi ses.;true;2/4/2017 18:30:36
ein Tisch;ett bord;en bord;false;2/4/2017 18:30:48
Wie heisst du?;Vad heter du?;Vad heter du?;true;2/4/2017 18:30:53
ein Bus;en buss;en buss;true;2/4/2017 18:30:56
zu sollen;att skola;att skola;true;2/4/2017 18:31:1
ein Haus;ett hus;ett hus;true;2/4/2017 18:31:6
ein Tisch;ett bord;ett bord;true;2/4/2017 18:31:9
gerne;gärna;gärna;true;2/4/2017 18:31:13
Ich will eine Zimtschnecke haben.;Jag vill ha en kanelbulle.;Ja vill ha en kanelbulle.;false;2/4/2017 18:31:23
Ich bin unverheiratet.;Jag är ogift.;Jag är ogift.;true;2/4/2017 18:31:34
Gibt es einen Bus den man nehmen kann?;Finns det en buss som man kan ta?;Finns det en buss som ma ka ta?;false;2/4/2017 18:32:7
Ich will eine Zimtschnecke haben.;Jag vill ha en kanelbulle.;Jag vill ha en kanelbulle.;true;2/4/2017 18:32:31
Er wohnt in einer Wohnung.;Han bor i en lägenhet.;Han bor i en lägenhet.;true;2/4/2017 18:32:50
ein Land;ett land;en land;false;2/4/2017 18:32:57
ein Bus;en buss;en buss;true;2/4/2017 18:33:0
Fahr lieber nach Schonen.;Äk hellre till Skåne.;Få hellre till Skånen.;false;2/4/2017 18:33:24
Ja, ein Sohn und eine Tochter.;Ja, en son och en dotter.;Ja, en son och en dotter.;true;2/4/2017 18:33:38
Schönen Urlaub.;Trevlig semester.;Bra semester.;false;2/4/2017 18:33:47
Fahr lieber nach Schonen.;Äk hellre till Skåne.;Äk hellre till Skåne.;true;2/4/2017 18:34:6
Schönen Urlaub.;Trevlig semester.;Trevlig semester.;true;2/4/2017 18:34:14
Gibt es einen Bus den man nehmen kann?;Finns det en buss som man kan ta?;Finns det en buss som kan man ta?;false;2/4/2017 18:34:29
Wie heisst sie?;Vad heter hon?;Vad heter hon?;true;2/4/2017 18:34:49
ein Käse;en ost;en ost;true;2/4/2017 18:34:55
Er wohnt in einer Wohnung.;Han bor i en lägenhet.;Han bor i en lägenhet.;true;2/4/2017 18:35:3
ein Hotel;ett hotell;ett hotell;true;2/4/2017 18:35:9
ein Zug;ett tåg;ett tåg;true;2/4/2017 18:35:14
Schau auf die Karte.;Titta här på kartan.;;false;2/4/2017 18:35:32
Onkel (mütterlicherseits);morbror;en morbror;false;2/4/2017 18:35:58
Sie ist die Mutter von Niclas.;Hon är mamma till Niclas.;Hon är mamma till Niclas.;true;2/4/2017 18:36:22
im;på;en;false;2/4/2017 18:36:34
im;på;på;true;2/4/2017 18:36:37
eine Mutter;en mamma;en mamma;true;2/4/2017 18:36:42
ein Brötchen;en fralla;en fralla;true;2/4/2017 18:36:48
Hast du Kinder?;Har du barn?;Har du barn?;true;2/4/2017 18:36:53
zu essen;att äta;att äta;true;2/4/2017 18:36:59
mein Freund (Partner);mina pojkvän;;false;2/4/2017 18:37:3
mein Freund (Partner);mina pojkvän;mina pojkvän;true;2/4/2017 18:37:16
Onkel (mütterlicherseits);morbror;morbror;true;2/4/2017 18:37:23
Schau auf die Karte.;Titta här på kartan.;Titta;false;2/4/2017 18:37:37
ein Land;ett land;ett land;true;2/4/2017 18:37:50
zu empfehlen;att rekommendera;att rekommenda;false;2/4/2017 18:38:1
Ihr sollt jetzt ins Bett gehen!;Nu ska ni gå och lägga er!;;false;2/4/2017 18:38:8
Wo sollen wir essen?;Var ska vi äta?;Var ska vi äta?;true;2/4/2017 18:38:26
Ihr sollt jetzt ins Bett gehen!;Nu ska ni gå och lägga er!;Vi ska;false;2/4/2017 18:38:40
ein Käsebrötchen;en ostfralla;en ostfralla;true;2/4/2017 18:38:55
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;Jag ska;false;2/4/2017 18:39:18
Ihr sollt jetzt ins Bett gehen!;Nu ska ni gå och lägga er!;Nu ska ni gå och lägga er!;true;2/4/2017 18:39:40
in der Nähe des Grand Hotel;i närheten av Grand Hotel;i närheten Grand Hotel;false;2/4/2017 18:40:18
Gibt es einen Bus den man nehmen kann?;Finns det en buss som man kan ta?;Finss det en buss som man kan ta?;false;2/4/2017 18:40:31
in der Nähe des Grand Hotel;i närheten av Grand Hotel;i närheten av Grand Hotel;true;2/4/2017 18:40:46
eine Jugendherberge;ett vandrarhem;ett vandrarhem;true;2/4/2017 18:40:53
Wir sind hier.;Vi är här.;Vi är här.;true;2/4/2017 18:41:2
Ist dein Mann mit im Zug?;Är din man med på tåget?;;false;2/4/2017 18:41:15
Dorthin werde ich nacher gehen.;Dit ska jag gå sedan.;;false;2/4/2017 18:41:25
Dorthin werde ich nacher gehen.;Dit ska jag gå sedan.;;false;2/4/2017 18:41:34
Er wird arbeiten.;Han ska arbeta.;Han ska arbeta.;true;2/4/2017 22:33:52
Reise vom Flughafen Arlanda.;Res från Arlanda flyplats.;Res från flyplats Arlanda.;false;2/4/2017 22:34:24
Ich bin bald wieder zurück.;Jag är snart tillbaka.;;false;2/4/2017 22:34:36
Ich bin bald wieder zurück.;Jag är snart tillbaka.;Jag är snart tillbaka.;true;2/4/2017 22:34:53
Sind deine Eltern mit am Foto?;Är dina föräldrar med på fotot?;Är dine föräldrar på fotot?;false;2/4/2017 22:35:23
Geh in die Wohnung hinein.;Gå in i lägenheten.;Gå i lägenheter.;false;2/4/2017 22:36:6
ich will;jag vill;jag vill;true;2/4/2017 22:36:18
ein Auto;en bil;ett bil;false;2/4/2017 22:36:29
ein Auto;en bil;en bil;true;2/4/2017 22:36:32
Wie;Hur;;false;2/4/2017 22:36:42
Reise vom Flughafen Arlanda.;Res från Arlanda flyplats.;Res från Arlanda flygplats.;false;2/4/2017 22:36:57
ein belegtes Brot;en smörgås;en smörgås;true;2/4/2017 22:37:49
Sind deine Eltern mit am Foto?;Är dina föräldrar med på fotot?;Är dine föräldrar med på fotot?;false;2/4/2017 22:38:8
Das liegt in Schweden.;Det ligger i Sverige.;Det ligger in sverige.;false;2/4/2017 22:38:19
neun;nio;nio;true;2/4/2017 22:38:25
eine Tochter;en dotter;en dotter;true;2/4/2017 22:38:29
ein Bruder;en bror;en bror;true;2/4/2017 22:38:32
Geh in die Wohnung hinein.;Gå in i lägenheten.;Gå in i lägenheten.;true;2/4/2017 22:38:57
Seine Frau heisst Anna.;Hans fru heter Anna.;Hans fru heter Anna.;true;2/4/2017 22:39:8
zu sprechen;att tala;att tala;true;2/4/2017 22:39:14
meine Freundin (Partner);min flickvän;;false;2/4/2017 22:39:27
Wie;Hur;Hur;true;2/4/2017 22:39:32
ein Mann;en man;en mann;false;2/4/2017 22:39:41
eine Zimtschnecke;en kanelbulle;en kanelbulle;true;2/4/2017 22:39:47
nein;nej;nej;true;2/4/2017 22:39:50
zu schauen;att titta;;false;2/4/2017 22:40:6
mein Mann;min man;min man;true;2/4/2017 22:40:11
ein Mann;en man;en man;true;2/4/2017 22:40:14
meine Freundin (Partner);min flickvän;min flickvän;true;2/4/2017 22:40:20
Ich hätte gerne ('sollte wollte haben') ein belegtes Brot.;Jag skulle villja ha en smörgås.;Jag sullje vill ha en smörgås.;false;2/4/2017 22:40:58
ihr;ni;ni;true;2/4/2017 22:41:6
Ich hätte gerne ('sollte wollte haben') ein belegtes Brot.;Jag skulle villja ha en smörgås.;Jag skulle villha ha en smörgås.;false;2/4/2017 22:41:17
zu schauen;att titta;att titta;true;2/4/2017 22:41:35
Ich fahre Zug.;Jag åker tåg.;Jag åker tåg.;true;2/4/2017 22:41:43
zu nehmen;att ta;att ta;true;2/4/2017 22:41:50
Reise vom Flughafen Arlanda.;Res från Arlanda flyplats.;Res från Arlanda flyplats.;true;2/4/2017 22:42:5
Sind deine Eltern mit am Foto?;Är dina föräldrar med på fotot?;Är dina föräldrar med på fotot?;true;2/4/2017 22:42:46
Mein Mann ist noch in der Stadt.;Min man är kvar i stan.;Min man är men en staden.;false;2/4/2017 22:43:8
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;Jag ska;false;2/4/2017 22:43:28
Mein Mann ist noch in der Stadt.;Min man är kvar i stan.;Min man är kvar en stan.;false;2/4/2017 22:43:51
klar;javisst;javisst;true;2/4/2017 22:43:57
Nach rechts?;Till höger?;Till höger?;true;2/4/2017 22:44:6
Ich komme aus Wien.;Jag kommer från Wien.;Jag kommer från Wien.;true;2/4/2017 22:44:16
danke sehr;tack så mycket;;false;2/4/2017 22:44:25
Willst du eine Kaffeepause machen?;Vill du fika?;Vill du ficka?;false;2/4/2017 22:44:36
eine Jugendherberge;ett vandrarhem;ett vandrarhem;true;2/4/2017 22:44:49
Willst du eine Kaffeepause machen?;Vill du fika?;Vill du fika?;true;2/4/2017 22:44:54
Das ist dein Sommerhaus.;Det är ditt sommerhus.;Det är ditt sommarhus.;false;2/4/2017 22:45:14
noch;kvar;;false;2/4/2017 22:45:55
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;;false;2/4/2017 22:46:11
Jetzt versteh ich.;Nu förstår jag.;;false;2/4/2017 22:46:26
Mein Mann ist noch in der Stadt.;Min man är kvar i stan.;Min man är kvar i stan.;true;2/4/2017 22:46:47
Ja, klar.;Ja, självklart.;Javisst.;false;2/4/2017 22:46:57
das;det;det;true;2/4/2017 22:47:7
Ich hätte gerne ('sollte wollte haben') ein belegtes Brot.;Jag skulle villja ha en smörgås.;Jag skulle villja ha en smörgås.;true;2/4/2017 22:47:24
eine Mutter;en mamma;en mamma;true;2/4/2017 22:47:28
ein Käsebrötchen;en ostfralla;en ostfralla;true;2/4/2017 22:47:35
Ich soll von Julia grüssen.;Jag ska hälsa från Julia.;Ja ska;false;2/4/2017 22:47:46
danke sehr;tack så mycket;tack så mycket;true;2/4/2017 22:48:1
Das ist meine Tochter Lina.;Det är min dotter Lina.;Det är min dotter Lina.;true;2/4/2017 22:48:17
Ich habe ein Auto.;Jag här en bil.;Jag har en bil.;false;2/4/2017 22:48:30
Geh in die Wohnung hinein.;Gå in i lägenheten.;Gå på in i lägenheten.;false;2/4/2017 22:49:18
ein Meer;ett hav;en sva;false;2/4/2017 22:49:32
Bist du Robert?;Är du Robert?;Är du Robert?;true;2/4/2017 22:50:53
ein belegtes Brot;en smörgås;en smörgås;true;2/4/2017 22:51:3
ein Campingplatz;en campingplats;en campingplats;true;2/4/2017 22:51:8
Ich spreche ein bisschen Schwedisch.;Jag talar lite svenska.;Ja talar lite svenska.;false;2/4/2017 22:51:16
Guten Morgen!;God morgon!;God morgon!;true;2/4/2017 22:51:25
Seine Frau wohnt in seinem Haus.;Hans fru bor i hans hus.;Hans fru bor in hans hus.;false;2/4/2017 22:52:6
Geh in die Wohnung hinein.;Gå in i lägenheten.;Gå in i lägenheten.;true;2/4/2017 22:52:16
Das dort ist mein Enkelkind.;Det där är mitt barnbarn.;Det där är mitt barnbarn.;true;2/4/2017 22:52:29
Das ist seine Wohnung.;Det är hans lägenhet.;Det är hans lagenhet.;false;2/4/2017 22:52:48
ein Vater;en pappa;en pappa;true;2/4/2017 22:53:7
nach links;till vänster;till vänster;true;2/4/2017 22:53:13
Sind deine Eltern mit am Foto?;Är dina föräldrar med på fotot?;Är dina föräldrar på i fotot?;false;2/4/2017 22:53:47
Was sprechen sie für eine Sprache in der Schweiz?;Vad talar de för språk i Schweiz?;Vad talar ni för språk in Schweiz?;false;2/4/2017 22:54:15
noch;kvar;;false;2/4/2017 22:54:36
Wie komme ich dort hin?;Hur kommer jag dit?;Hur kommer jag der?;false;2/4/2017 22:55:23
Danke;Tack;tack;true;2/4/2017 22:55:29
klar;javisst;javisst;true;2/4/2017 22:55:34
zu grüssen;att hälsa;att hälsa;true;2/4/2017 22:55:46
Das liegt in Schweden.;Det ligger i Sverige.;Det ligger i Sverige.;true;2/4/2017 22:55:56
danke sehr;tack så mycket;;false;2/4/2017 22:56:1
noch;kvar;kvar;true;2/4/2017 22:56:9
Ja, klar.;Ja, självklart.;;false;2/4/2017 22:56:16
Ich spreche ein bisschen Schwedisch.;Jag talar lite svenska.;Jag talar lite svenska.;true;2/4/2017 22:56:28
Reise vom Flughafen Arlanda.;Res från Arlanda flyplats.;Res från Arlanda flyplats.;true;2/4/2017 22:56:39
ein Meer;ett hav;en sva;false;2/4/2017 22:56:48
